year,sigungu,sigungu_code,agg_emi_s1_estab
2013,서울특별시 종로구,11010,239655.45
2013,서울특별시 중구,11020,1450573.4
2013,서울특별시 용산구,11030,1029997.5
2013,서울특별시 광진구,11050,11157.922
2013,서울특별시 동대문구,11060,506685.09
2013,서울특별시 서대문구,11130,192400.7
2013,서울특별시 마포구,11140,1555754.7
2013,서울특별시 강서구,11160,448730.15
2013,서울특별시 금천구,11180,24607.019
2013,서울특별시 영등포구,11190,68797.658
2013,서울특별시 서초구,11220,451078.59
2013,서울특별시 강남구,11230,70923729
2013,서울특별시 송파구,11240,547622.07
2013,부산광역시 부산진구,21050,52628.463
2013,부산광역시 남구,21070,681.89301
2013,부산광역시 사하구,21100,5670294.6
2013,부산광역시 강서구,21120,734436.82
2013,부산광역시 수영구,21140,497.90274
2013,대구광역시 중구,22010,73291.814
2013,대구광역시 동구,22020,15750.643
2013,대구광역시 북구,22050,104806.25
2013,대구광역시 달서구,22070,281616.33
2013,대구광역시 달성군,22510,293571.19
2013,인천광역시 중구,23010,639871.67
2013,인천광역시 연수구,23040,643041.6
2013,인천광역시 남동구,23050,70162.951
2013,인천광역시 서구,23080,14734768
2013,광주광역시 북구,24040,158009.15
2013,광주광역시 광산구,24050,188669.48
2013,대전광역시 유성구,25040,131659.73
2013,대전광역시 대덕구,25050,367492.13
2013,울산광역시 중구,26010,676.769
2013,울산광역시 남구,26020,25388950
2013,울산광역시 동구,26030,430638.3
2013,울산광역시 울주군,26510,9864670.1
2013,세종시 세종시,29010,1178131.8
2013,경기도 성남시,31021,2684806.6
2013,경기도 안양시,31041,1256842.8
2013,경기도 부천시,31050,1031830.4
2013,경기도 평택시,31070,4813558.6
2013,경기도 안산시,31091,4245618.6
2013,경기도 오산시,31140,150788.6
2013,경기도 시흥시,31150,777713.92
2013,경기도 군포시,31160,193233.14
2013,경기도 용인시,31191,2162884.4
2013,경기도 파주시,31200,5859315.5
2013,경기도 이천시,31210,699510.82
2013,경기도 안성시,31220,56253.161
2013,경기도 화성시,31240,1599068
2013,경기도 광주시,31250,323394.24
2013,경기도 양주시,31260,28221.327
2013,강원도 원주시,32020,184154.29
2013,강원도 강릉시,32030,7094280.3
2013,강원도 영월군,32530,7225494
2013,강원도 평창군,32540,191374.39
2013,강원도 정선군,32550,273031.53
2013,충청북도 충주시,33020,68394.886
2013,충청북도 청주시,33040,4491997.6
2013,충청북도 진천군,33550,53062.636
2013,충청북도 단양군,33580,11108121
2013,충청남도 천안시,34011,1532874.5
2013,충청남도 보령시,34030,30817307
2013,충청남도 아산시,34040,4762266.4
2013,충청남도 서산시,34050,11538956
