year,sigungu,sigungu_code,agg_emi_s1_estab
2023,서울특별시 종로구,11010,5.10E+04
2023,서울특별시 중구,11020,1.32E+06
2023,서울특별시 용산구,11030,19110.96
2023,서울특별시 광진구,11050,19830.415
2023,서울특별시 동대문구,11060,462717.76
2023,서울특별시 서대문구,11130,443.96098
2023,서울특별시 마포구,11140,1.85E+06
2023,서울특별시 강서구,11160,2174490.2
2023,서울특별시 금천구,11180,11180.897
2023,서울특별시 영등포구,11190,3.69E+04
2023,서울특별시 서초구,11220,280761.29
2023,서울특별시 강남구,11230,6.59E+05
2023,서울특별시 송파구,11240,376552.07
2023,부산광역시 남구,21070,4078.487
2023,부산광역시 사하구,21100,2.53E+06
2023,부산광역시 강서구,21120,2.21E+05
2023,부산광역시 수영구,21140,55.106998
2023,대구광역시 중구,22010,6565.3818
2023,대구광역시 동구,22020,55471.408
2023,대구광역시 북구,22050,40963.285
2023,대구광역시 달서구,22070,292970.26
2023,대구광역시 달성군,22510,165266.75
2023,인천광역시 중구,23010,501939.82
2023,인천광역시 동구,23020,532324.52
2023,인천광역시 연수구,23040,534554.44
2023,인천광역시 남동구,23050,29368.415
2023,인천광역시 부평구,23060,297041.71
2023,인천광역시 서구,23080,6057852.1
2023,인천광역시 미추홀구,23090,36397.559
2023,광주광역시 서구,24020,6.39E+04
2023,광주광역시 북구,24040,53322.859
2023,광주광역시 광산구,24050,1.86E+05
2023,대전광역시 유성구,25040,248581.2
2023,대전광역시 대덕구,25050,213893.61
2023,울산광역시 중구,26010,926.99399
2023,울산광역시 남구,26020,13891656
2023,울산광역시 동구,26030,3.42E+05
2023,울산광역시 울주군,26510,12828127
2023,세종시 세종시,29010,1776526.9
2023,경기도 수원시,31011,660889.98
2023,경기도 성남시,31021,1753021.3
2023,경기도 안양시,31041,1968206.4
2023,경기도 부천시,31050,695508.34
2023,경기도 평택시,31070,1728514.6
2023,경기도 안산시,31091,767311.72
2023,경기도 오산시,31140,156998.01
2023,경기도 시흥시,31150,179827.62
2023,경기도 의왕시,31170,15554.039
2023,경기도 용인시,31191,829614.23
