year,sigungu,sigungu_code,agg_emi_s1_firm
2013,서울특별시 종로구,11010,24967928
2013,서울특별시 중구,11020,17651949
2013,서울특별시 용산구,11030,1734244
2013,서울특별시 광진구,11050,28841
2013,서울특별시 동대문구,11060,1589770
2013,서울특별시 서대문구,11130,258008
2013,서울특별시 마포구,11140,9214022
2013,서울특별시 강서구,11160,2543637
2013,서울특별시 금천구,11180,588850
2013,서울특별시 영등포구,11190,14346836
2013,서울특별시 서초구,11220,2732377
2013,서울특별시 강남구,11230,82731084
2013,서울특별시 송파구,11240,166177
2013,부산광역시 부산진구,21050,398109
2013,부산광역시 남구,21070,41196916
2013,부산광역시 사하구,21100,7284631
2013,부산광역시 강서구,21120,617971
2013,부산광역시 수영구,21140,138614
2013,대구광역시 중구,22010,73005
2013,대구광역시 동구,22020,150838
2013,대구광역시 북구,22050,334608
2013,대구광역시 달서구,22070,76067
2013,대구광역시 달성군,22510,367856
2013,인천광역시 중구,23010,364109
2013,인천광역시 연수구,23040,466865
2013,인천광역시 남동구,23050,46454
2013,인천광역시 서구,23080,1400043
2013,광주광역시 북구,24040,359213
2013,광주광역시 광산구,24050,1043309
2013,대전광역시 유성구,25040,14281935
2013,대전광역시 대덕구,25050,743383
2013,울산광역시 중구,26010,43206080
2013,울산광역시 남구,26020,4226542
2013,울산광역시 동구,26030,1138823
2013,울산광역시 울주군,26510,938316
2013,세종시 세종시,29010,168247
2013,경기도 성남시,31021,21400891
2013,경기도 안양시,31041,296237
2013,경기도 부천시,31050,2607645
2013,경기도 평택시,31070,499113
2013,경기도 안산시,31091,2154406
2013,경기도 오산시,31140,84428
2013,경기도 시흥시,31150,347367
2013,경기도 군포시,31160,27199
2013,경기도 용인시,31191,5711999
2013,경기도 파주시,31200,827317
2013,경기도 이천시,31210,3013759
2013,경기도 안성시,31220,41187
2013,경기도 화성시,31240,1501756
2013,경기도 광주시,31250,321072
2013,경기도 양주시,31260,27821
2013,강원도 원주시,32020,146347
2013,강원도 강릉시,32030,5187761
2013,강원도 영월군,32530,248613
2013,강원도 평창군,32540,262985
2013,강원도 정선군,32550,256986
2013,충청북도 충주시,33020,78289
2013,충청북도 청주시,33040,1500790
2013,충청북도 진천군,33550,842557
2013,충청북도 단양군,33580,8442240
2013,충청남도 천안시,34011,150192
2013,충청남도 보령시,34030,40277228
2013,충청남도 아산시,34040,38467
2013,충청남도 서산시,34050,8862691
2013,충청남도 당진시,34080,5491202
2013,충청남도 금산군,34510,534617
2013,충청남도 서천군,34540,28486
2013,전라북도 전주시,35011,316673
2013,전라북도 군산시,35020,42643530
2013,전라북도 익산시,35030,673377
2013,전라북도 정읍시,35040,90372
2013,전라북도 완주군,35510,2741462
2013,전라북도 무주군,35530,24871
2013,전라남도 여수시,36020,1595562
2013,전라남도 광양시,36060,12292030
2013,전라남도 담양군,36510,123667
2013,전라남도 곡성군,36520,319082
2013,전라남도 영암군,36610,360875
2013,경상북도 포항시,37011,3176407
2013,경상북도 경주시,37020,3296114
2013,경상북도 김천시,37030,80127
2013,경상북도 구미시,37050,1677879
2013,경상북도 영주시,37060,386181
2013,경상북도 경산시,37100,180762
2013,경상남도 진주시,38030,51982982
2013,경상남도 사천시,38060,96582
2013,경상남도 김해시,38070,808627
2013,경상남도 거제시,38090,484234
2013,경상남도 양산시,38100,457357
2013,경상남도 창원시,38111,2053026
2013,경상남도 함안군,38520,599384
2013,서울특별시 성동구,11040,
2013,서울특별시 중랑구,11070,
2013,서울특별시 성북구,11080,
2013,서울특별시 강북구,11090,
2013,서울특별시 도봉구,11100,
2013,서울특별시 노원구,11110,
2013,서울특별시 은평구,11120,
2013,서울특별시 양천구,11150,
2013,서울특별시 구로구,11170,
2013,서울특별시 동작구,11200,
2013,서울특별시 관악구,11210,
2013,서울특별시 강동구,11250,
2013,부산광역시 중구,21010,
2013,부산광역시 서구,21020,
2013,부산광역시 동구,21030,
2013,부산광역시 영도구,21040,
2013,부산광역시 동래구,21060,
2013,부산광역시 북구,21080,
2013,부산광역시 해운대구,21090,
2013,부산광역시 금정구,21110,
2013,부산광역시 연제구,21130,
2013,부산광역시 사상구,21150,
2013,부산광역시 기장군,21510,
2013,대구광역시 서구,22030,
2013,대구광역시 수성구,22060,
2013,인천광역시 동구,23020,
2013,인천광역시 부평구,23060,
2013,인천광역시 계양구,23070,
2013,인천광역시 미추홀구,23090,
2013,인천광역시 옹진군,23520,
2013,광주광역시 동구,24010,
2013,광주광역시 서구,24020,
2013,광주광역시 남구,24030,
2013,대전광역시 동구,25010,
2013,대전광역시 중구,25020,
2013,대전광역시 서구,25030,
2013,울산광역시 북구,26040,
2013,경기도 수원시,31011,
2013,경기도 의정부시,31030,
2013,경기도 광명시,31060,
2013,경기도 고양시,31101,
2013,경기도 과천시,31110,
2013,경기도 구리시,31120,
2013,경기도 남양주시,31130,
2013,경기도 의왕시,31170,
2013,경기도 하남시,31180,
2013,경기도 김포시,31230,
2013,경기도 포천시,31270,
2013,경기도 여주시,31280,
2013,경기도 가평군,31570,
2013,강원도 춘천시,32010,
2013,강원도 동해시,32040,
2013,강원도 태백시,32050,
2013,강원도 속초시,32060,
2013,강원도 삼척시,32070,
2013,강원도 홍천군,32510,
2013,강원도 양양군,32610,
2013,충청북도 제천시,33030,
2013,충청북도 영동군,33540,
2013,충청북도 괴산군,33560,
2013,충청북도 음성군,33570,
2013,충청남도 공주시,34020,
2013,충청남도 논산시,34060,
2013,충청남도 부여군,34530,
2013,충청남도 청양군,34550,
2013,충청남도 예산군,34570,
2013,충청남도 태안군,34580,
2013,전라북도 남원시,35050,
2013,전라북도 김제시,35060,
2013,전라북도 순창군,35560,
2013,전라북도 고창군,35570,
2013,전라남도 목포시,36010,
2013,전라남도 순천시,36030,
2013,전라남도 나주시,36040,
2013,전라남도 함평군,36630,
2013,전라남도 영광군,36640,
2013,경상북도 안동시,37040,
2013,경상북도 영천시,37070,
2013,경상북도 상주시,37080,
2013,경상북도 청송군,37530,
2013,경상북도 칠곡군,37590,
2013,경상북도 예천군,37600,
2013,경상북도 봉화군,37610,
2013,경상북도 울진군,37620,
2013,경상남도 통영시,38050,
2013,경상남도 밀양시,38080,
2013,경상남도 의령군,38510,
2013,경상남도 창녕군,38530,
2013,경상남도 고성군,38540,
2013,경상남도 하동군,38560,
2013,경상남도 산청군,38570,
2013,제주특별자치도 제주시,39010,
2013,제주특별자치도 서귀포시,39020,
