year,sigungu,sigungu_code,agg_emi_s1_firm
2023,서울특별시 종로구,11010,24343655
2023,서울특별시 중구,11020,17083068
2023,서울특별시 용산구,11030,2209149
2023,서울특별시 광진구,11050,23016
2023,서울특별시 동대문구,11060,1127466
2023,서울특별시 서대문구,11130,314940
2023,서울특별시 마포구,11140,10271077
2023,서울특별시 강서구,11160,2538590
2023,서울특별시 금천구,11180,315964
2023,서울특별시 영등포구,11190,11773748
2023,서울특별시 서초구,11220,3635293
2023,서울특별시 강남구,11230,7.28E+06
2023,서울특별시 송파구,11240,681960
2023,부산광역시 남구,21070,26749984
2023,부산광역시 사하구,21100,621710
2023,부산광역시 강서구,21120,676017
2023,부산광역시 수영구,21140,86141
2023,대구광역시 중구,22010,18570
2023,대구광역시 동구,22020,124752
2023,대구광역시 북구,22050,148516
2023,대구광역시 달서구,22070,179315
2023,대구광역시 달성군,22510,439587
2023,인천광역시 중구,23010,409672
2023,인천광역시 동구,23020,94451
2023,인천광역시 연수구,23040,375972
2023,인천광역시 남동구,23050,23073
2023,인천광역시 부평구,23060,2.33E+05
2023,인천광역시 서구,23080,176091
2023,인천광역시 미추홀구,23090,58536
2023,광주광역시 서구,24020,6139
2023,광주광역시 북구,24040,425678
2023,광주광역시 광산구,24050,1553029
2023,대전광역시 유성구,25040,1.46E+07
2023,대전광역시 대덕구,25050,401808
2023,울산광역시 중구,26010,2.72E+07
2023,울산광역시 남구,26020,2992598
2023,울산광역시 동구,26030,802977
2023,울산광역시 울주군,26510,1388570
2023,세종시 세종시,29010,104443
2023,경기도 수원시,31011,13436071
2023,경기도 성남시,31021,39967157
2023,경기도 안양시,31041,106681
2023,경기도 부천시,31050,2824835
2023,경기도 평택시,31070,414092
2023,경기도 안산시,31091,832932
2023,경기도 오산시,31140,108392
2023,경기도 시흥시,31150,200114
2023,경기도 의왕시,31170,18055
2023,경기도 용인시,31191,3963216
2023,경기도 파주시,31200,146934
2023,경기도 안성시,31220,78957
2023,경기도 김포시,31230,803393
2023,경기도 화성시,31240,1569435
2023,경기도 광주시,31250,241231
2023,경기도 양주시,31260,22988
2023,강원도 원주시,32020,724816
2023,강원도 강릉시,32030,4392804
2023,강원도 영월군,32530,2.22E+05
2023,강원도 평창군,32540,197445
2023,강원도 정선군,32550,3.12E+05
2023,충청북도 충주시,33020,51887
2023,충청북도 청주시,33040,1.22E+06
2023,충청북도 음성군,33570,14608
2023,충청북도 단양군,33580,7.27E+06
2023,충청남도 천안시,34011,1.72E+05
2023,충청남도 보령시,34030,31545261
2023,충청남도 아산시,34040,112365
2023,충청남도 서산시,34050,6875033
2023,충청남도 당진시,34080,5199746
2023,충청남도 금산군,34510,408777
2023,충청남도 서천군,34540,21168
2023,충청남도 홍성군,34560,121756
2023,전라북도 전주시,35011,758792
2023,전라북도 군산시,35020,3.09E+07
2023,전라북도 익산시,35030,5.73E+05
2023,전라북도 정읍시,35040,98474
2023,전라북도 완주군,35510,103551
2023,전라북도 무주군,35530,16508
2023,전라북도 순창군,35560,5.87E+04
2023,전라남도 여수시,36020,603635
2023,전라남도 광양시,36060,84617269
2023,전라남도 담양군,36510,112002
2023,전라남도 곡성군,36520,257548
