sigungu,sigungu_code,change(tCO2),change(MtCO2)
서울특별시 종로구,11010,-624273,-0.624273
서울특별시 중구,11020,-568881,-0.568881
서울특별시 용산구,11030,474905,0.474905
서울특별시 광진구,11050,-5825,-0.005825
서울특별시 동대문구,11060,-462304,-0.462304
서울특별시 서대문구,11130,56932,0.056932
서울특별시 마포구,11140,1057055,1.057055
서울특별시 강서구,11160,-5047,-0.005047
서울특별시 금천구,11180,-272886,-0.272886
서울특별시 영등포구,11190,-2573088,-2.573088
서울특별시 서초구,11220,902916,0.902916
서울특별시 강남구,11230,-75451084,-75.451084
서울특별시 송파구,11240,515783,0.515783
부산광역시 남구,21070,-14446932,-14.446932
부산광역시 사하구,21100,-6662921,-6.662921
부산광역시 강서구,21120,58046,0.058046
부산광역시 수영구,21140,-52473,-0.052473
대구광역시 중구,22010,-54435,-0.054435
대구광역시 동구,22020,-26086,-0.026086
대구광역시 북구,22050,-186092,-0.186092
대구광역시 달서구,22070,103248,0.103248
대구광역시 달성군,22510,71731,0.071731
인천광역시 중구,23010,45563,0.045563
인천광역시 동구,23020,94451,0.094451
인천광역시 연수구,23040,-90893,-0.090893
인천광역시 남동구,23050,-23381,-0.023381
인천광역시 부평구,23060,233000,0.233
인천광역시 서구,23080,-1223952,-1.223952
인천광역시 미추홀구,23090,58536,0.058536
광주광역시 서구,24020,6139,0.006139
광주광역시 북구,24040,66465,0.066465
광주광역시 광산구,24050,509720,0.50972
대전광역시 유성구,25040,318065,0.318065
대전광역시 대덕구,25050,-341575,-0.341575
울산광역시 중구,26010,-16006080,-16.00608
울산광역시 남구,26020,-1233944,-1.233944
울산광역시 동구,26030,-335846,-0.335846
울산광역시 울주군,26510,450254,0.450254
세종시 세종시,29010,-63804,-0.063804
경기도 수원시,31011,13436071,13.436071
경기도 성남시,31021,18566266,18.566266
경기도 안양시,31041,-189556,-0.189556
경기도 부천시,31050,217190,0.21719
경기도 평택시,31070,-85021,-0.085021
경기도 안산시,31091,-1321474,-1.321474
경기도 오산시,31140,23964,0.023964
경기도 시흥시,31150,-147253,-0.147253
경기도 의왕시,31170,18055,0.018055
경기도 용인시,31191,-1748783,-1.748783
경기도 파주시,31200,-680383,-0.680383
경기도 안성시,31220,37770,0.03777
경기도 김포시,31230,803393,0.803393
경기도 화성시,31240,67679,0.067679
경기도 광주시,31250,-79841,-0.079841
경기도 양주시,31260,-4833,-0.004833
강원도 원주시,32020,578469,0.578469
강원도 강릉시,32030,-794957,-0.794957
강원도 영월군,32530,-26613,-0.026613
강원도 평창군,32540,-65540,-0.06554
강원도 정선군,32550,55014,0.055014
