sigungu,sigungu_code,change(tCO2),change(MtCO2)
서울특별시 종로구,11010,-171128.608,-0.171128608
서울특별시 중구,11020,461872.8,0.4618728
서울특별시 용산구,11030,-424568.17,-0.42456817
서울특별시 광진구,11050,-4192.306,-0.004192306
서울특별시 동대문구,11060,-10660.18,-0.01066018
서울특별시 서대문구,11130,-18403.0876,-0.018403088
서울특별시 마포구,11140,41676.404,0.041676404
서울특별시 강서구,11160,141135.42,0.14113542
서울특별시 금천구,11180,22905.794,0.022905794
서울특별시 영등포구,11190,10059.766,0.010059766
서울특별시 서초구,11220,154911.57,0.15491157
서울특별시 강남구,11230,-4452694,-4.452694
서울특별시 송파구,11240,17154.52,0.01715452
부산광역시 남구,21070,-1359.2419,-0.001359242
부산광역시 사하구,21100,-152844.84,-0.15284484
부산광역시 강서구,21120,146230.3,0.1462303
부산광역시 수영구,21140,292.88609,0.000292886
대구광역시 중구,22010,-28192.069,-0.028192069
대구광역시 동구,22020,3952.037,0.003952037
대구광역시 북구,22050,-24886.023,-0.024886023
대구광역시 달서구,22070,-19236.825,-0.019236825
대구광역시 달성군,22510,44358.42,0.04435842
인천광역시 중구,23010,143031.07,0.14303107
인천광역시 동구,23020,-79390.2,-0.0793902
인천광역시 연수구,23040,76269.59,0.07626959
인천광역시 남동구,23050,-29316.009,-0.029316009
인천광역시 부평구,23060,-128334.61,-0.12833461
인천광역시 서구,23080,141527.34,0.14152734
인천광역시 미추홀구,23090,-848.812,-0.000848812
광주광역시 서구,24020,-2491.607,-0.002491607
광주광역시 북구,24040,-5827.26,-0.00582726
광주광역시 광산구,24050,-188325.71,-0.18832571
대전광역시 유성구,25040,56371.183,0.056371183
대전광역시 대덕구,25050,-332936.87,-0.33293687
울산광역시 중구,26010,-454.442,-0.000454442
울산광역시 남구,26020,-1759041.4,-1.7590414
울산광역시 동구,26030,-178528.23,-0.17852823
울산광역시 울주군,26510,398966.4,0.3989664
세종시 세종시,29010,-64880.25,-0.06488025
경기도 수원시,31011,221182.19,0.22118219
경기도 성남시,31021,-78972.04,-0.07897204
경기도 안양시,31041,208836.986,0.208836986
경기도 부천시,31050,-64334.43,-0.06433443
경기도 평택시,31070,4425543,4.425543
경기도 안산시,31091,-889154.05,-0.88915405
경기도 오산시,31140,1832.9,0.0018329
경기도 시흥시,31150,-17869.66,-0.01786966
경기도 의왕시,31170,19499.7327,0.019499733
경기도 용인시,31191,-1959738.1,-1.9597381
경기도 파주시,31200,1021731.4,1.0217314
경기도 안성시,31220,8754.21,0.00875421
경기도 김포시,31230,12668.5818,0.012668582
경기도 화성시,31240,4036059.91,4.03605991
경기도 광주시,31250,590.435,0.000590435
경기도 양주시,31260,-6373.253,-0.006373253
강원도 원주시,32020,-1099532.155,-1.099532155
강원도 강릉시,32030,-183646.43,-0.18364643
강원도 영월군,32530,-80551.51,-0.08055151
강원도 평창군,32540,2841.43,0.00284143
강원도 정선군,32550,-158602.04,-0.15860204
충청북도 충주시,33020,35577.099,0.035577099
충청북도 청주시,33040,-3027375.2,-3.0273752
충청북도 음성군,33570,2863.215,0.002863215
충청북도 단양군,33580,-453851.4,-0.4538514
충청남도 천안시,34011,-127267.39,-0.12726739
충청남도 보령시,34030,71105.146,0.071105146
충청남도 아산시,34040,1108852.5,1.1088525
충청남도 서산시,34050,293082.5,0.2930825
충청남도 당진시,34080,-2418148.3,-2.4181483
충청남도 금산군,34510,-10008,-0.010008
충청남도 서천군,34540,-10097.578,-0.010097578
전라북도 전주시,35011,-148858.43,-0.14885843
전라북도 군산시,35020,18545.9,0.0185459
전라북도 익산시,35030,80565.65,0.08056565
전라북도 정읍시,35040,35865.659,0.035865659
전라북도 완주군,35510,19262.65,0.01926265
전라북도 무주군,35530,-36388.97,-0.03638897
전라북도 순창군,35560,-2312.9724,-0.002312972
전라남도 여수시,36020,-1081574.1,-1.0815741
전라남도 광양시,36060,-159178.2,-0.1591782
전라남도 담양군,36510,3459.577,0.003459577
전라남도 곡성군,36520,-104445.656,-0.104445656
전라남도 영암군,36610,40813.73,0.04081373
경상북도 포항시,37011,849697.2,0.8496972
경상북도 경주시,37020,-70141.07,-0.07014107
경상북도 김천시,37030,-815325.24,-0.81532524
경상북도 구미시,37050,-107502.8,-0.1075028
경상북도 영주시,37060,-31518.14,-0.03151814
경상북도 경산시,37100,-10130.599,-0.010130599
경상남도 진주시,38030,-123794.83,-0.12379483
경상남도 사천시,38060,21619.743,0.021619743
경상남도 김해시,38070,-23674.553,-0.023674553
경상남도 밀양시,38080,25078.76,0.02507876
경상남도 거제시,38090,-32197.3,-0.0321973
경상남도 양산시,38100,-5870.02,-0.00587002
경상남도 창원시,38111,-324698.9,-0.3246989
경상남도 함안군,38520,160830.96,0.16083096
경상남도 고성군,38540,36418.113,0.036418113
서울특별시 성동구,11040,-5400.686,-0.005400686
서울특별시 중랑구,11070,-5327.5741,-0.005327574
서울특별시 성북구,11080,-6473.6765,-0.006473677
서울특별시 강북구,11090,-1637.416,-0.001637416
서울특별시 도봉구,11100,-22054.671,-0.022054671
서울특별시 노원구,11110,-30088.864,-0.030088864
서울특별시 은평구,11120,680.409,0.000680409
서울특별시 양천구,11150,60214.18,0.06021418
서울특별시 구로구,11170,-9267.417,-0.009267417
서울특별시 동작구,11200,7264.158,0.007264158
서울특별시 관악구,11210,-4410.668,-0.004410668
서울특별시 강동구,11250,-10896.5999,-0.0108966
부산광역시 중구,21010,-3312.918,-0.003312918
부산광역시 서구,21020,-7137.0641,-0.007137064
부산광역시 부산진구,21050,-5958.655,-0.005958655
부산광역시 동래구,21060,-5191.127,-0.005191127
부산광역시 북구,21080,0,0
부산광역시 해운대구,21090,-110525.599,-0.110525599
부산광역시 금정구,21110,-11614.2102,-0.01161421
부산광역시 연제구,21130,-6465.9146,-0.006465915
부산광역시 사상구,21150,-24788.417,-0.024788417
부산광역시 기장군,21510,-96906.93,-0.09690693
대구광역시 서구,22030,-6473.972,-0.006473972
대구광역시 수성구,22060,-12213.1057,-0.012213106
인천광역시 계양구,23070,-8663.414,-0.008663414
인천광역시 옹진군,23520,18105,0.018105
광주광역시 동구,24010,-2492.3529,-0.002492353
광주광역시 남구,24030,-2656.224752,-0.002656225
대전광역시 동구,25010,-6201.377017,-0.006201377
대전광역시 중구,25020,-9230.102,-0.009230102
대전광역시 서구,25030,-24691.037,-0.024691037
울산광역시 북구,26040,-86926.08,-0.08692608
경기도 의정부시,31030,-5585.993,-0.005585993
경기도 광명시,31060,-9499.804,-0.009499804
경기도 고양시,31101,8929.76,0.00892976
경기도 구리시,31120,-19360.2652,-0.019360265
경기도 남양주시,31130,-14011.88934,-0.014011889
경기도 군포시,31160,-122749.747,-0.122749747
경기도 하남시,31180,-1292.0984,-0.001292098
경기도 이천시,31210,758472.1,0.7584721
경기도 포천시,31270,-2363.01,-0.00236301
경기도 여주시,31280,-68820.163,-0.068820163
경기도 가평군,31570,36228.3,0.0362283
강원도 춘천시,32010,-8204.54,-0.00820454
강원도 동해시,32040,-218228.8,-0.2182288
강원도 태백시,32050,-861.57501,-0.000861575
강원도 속초시,32060,2582.7148,0.002582715
강원도 삼척시,32070,-92953.35,-0.09295335
강원도 홍천군,32510,-8070.055,-0.008070055
강원도 양양군,32610,-176332.62,-0.17633262
충청북도 제천시,33030,626.56,0.00062656
충청북도 영동군,33540,7497.1201,0.00749712
충청북도 진천군,33550,-30377.11,-0.03037711
충청북도 괴산군,33560,-23370.9998,-0.023371
