year,sigungu,sigungu_code,agg_emi_total_est
2013,서울특별시 종로구,11010,430290.6
2013,서울특별시 중구,11020,2515714
2013,서울특별시 용산구,11030,1546091
2013,서울특별시 광진구,11050,39865.49
2013,서울특별시 동대문구,11060,718540.9
2013,서울특별시 서대문구,11130,215375.2
2013,서울특별시 마포구,11140,1648528
2013,서울특별시 강서구,11160,534028.9
2013,서울특별시 금천구,11180,71221.7
2013,서울특별시 영등포구,11190,94838.02
2013,서울특별시 서초구,11220,638194.2
2013,서울특별시 강남구,11230,7.56E+07
2013,서울특별시 송파구,11240,768387.3
2013,부산광역시 부산진구,21050,97845.73
2013,부산광역시 남구,21070,4474.96
2013,부산광역시 사하구,21100,6074038
2013,부산광역시 강서구,21120,1175779
2013,부산광역시 수영구,21140,809.8846
2013,대구광역시 중구,22010,121700.5
2013,대구광역시 동구,22020,52871.32
2013,대구광역시 북구,22050,153221.7
2013,대구광역시 달서구,22070,333495
2013,대구광역시 달성군,22510,501505.6
2013,인천광역시 중구,23010,799348.9
2013,인천광역시 연수구,23040,822315.4
2013,인천광역시 남동구,23050,124065.5
2013,인천광역시 서구,23080,1.50E+07
2013,광주광역시 북구,24040,345397.3
2013,광주광역시 광산구,24050,628249.5
2013,대전광역시 유성구,25040,223288.5
2013,대전광역시 대덕구,25050,957607.6
2013,울산광역시 중구,26010,5961.211
2013,울산광역시 남구,26020,3.17E+07
2013,울산광역시 동구,26030,1047928
2013,울산광역시 울주군,26510,1.31E+07
2013,세종시 세종시,29010,1655320
2013,경기도 성남시,31021,2914771
2013,경기도 안양시,31041,1349375
2013,경기도 부천시,31050,1233206
2013,경기도 평택시,31070,5900873
2013,경기도 안산시,31091,5747928
2013,경기도 오산시,31140,260602.3
2013,경기도 시흥시,31150,1006506
2013,경기도 군포시,31160,338997.1
2013,경기도 용인시,31191,5947812
2013,경기도 파주시,31200,7165102
2013,경기도 이천시,31210,1830448
2013,경기도 안성시,31220,135742.3
2013,경기도 화성시,31240,2114794
2013,경기도 광주시,31250,343938.7
2013,경기도 양주시,31260,54413.06
2013,강원도 원주시,32020,1366263
2013,강원도 강릉시,32030,7551678
2013,강원도 영월군,32530,7655046
2013,강원도 평창군,32540,223780.9
2013,강원도 정선군,32550,543633.6
2013,충청북도 충주시,33020,152254.9
2013,충청북도 청주시,33040,1.02E+07
2013,충청북도 진천군,33550,197200.6
2013,충청북도 단양군,33580,1.24E+07
2013,충청남도 천안시,34011,2418142
2013,충청남도 보령시,34030,3.09E+07
2013,충청남도 아산시,34040,6910927
2013,충청남도 서산시,34050,1.38E+07
2013,충청남도 당진시,34080,4.81E+07
2013,충청남도 금산군,34510,274278
2013,충청남도 서천군,34540,2855616
2013,전라북도 전주시,35011,2040413
2013,전라북도 군산시,35020,8971551
2013,전라북도 익산시,35030,819568
2013,전라북도 정읍시,35040,110060.7
2013,전라북도 완주군,35510,539385.3
2013,전라북도 무주군,35530,383091.8
2013,전라남도 여수시,36020,3.32E+07
2013,전라남도 광양시,36060,1.17E+07
2013,전라남도 담양군,36510,154478.3
2013,전라남도 곡성군,36520,315594
2013,전라남도 영암군,36610,412549.4
2013,경상북도 포항시,37011,1.18E+07
2013,경상북도 경주시,37020,4546867
2013,경상북도 김천시,37030,2099267
2013,경상북도 구미시,37050,7741023
2013,경상북도 영주시,37060,450460.1
2013,경상북도 경산시,37100,173586.8
2013,경상남도 진주시,38030,613048.1
2013,경상남도 사천시,38060,187447.4
2013,경상남도 김해시,38070,155083.5
2013,경상남도 거제시,38090,470311.5
2013,경상남도 양산시,38100,970200.7
2013,경상남도 창원시,38111,3005471
2013,경상남도 함안군,38520,1032320
2013,서울특별시 성동구,11040,165079.7
2013,서울특별시 중랑구,11070,8725.723
2013,서울특별시 성북구,11080,11156.35
2013,서울특별시 강북구,11090,23619.99
2013,서울특별시 도봉구,11100,41906.75
2013,서울특별시 노원구,11110,101365.9
2013,서울특별시 은평구,11120,17586.44
2013,서울특별시 양천구,11150,135488.4
2013,서울특별시 구로구,11170,29769.14
2013,서울특별시 동작구,11200,51500.18
2013,서울특별시 관악구,11210,62068.26
2013,서울특별시 강동구,11250,28161.11
2013,부산광역시 중구,21010,47744.66
2013,부산광역시 서구,21020,117042.3
2013,부산광역시 동구,21030,0
2013,부산광역시 영도구,21040,4245.927
2013,부산광역시 동래구,21060,17879.94
2013,부산광역시 북구,21080,0
2013,부산광역시 해운대구,21090,323205.7
2013,부산광역시 금정구,21110,20212.08
2013,부산광역시 연제구,21130,13215.28
2013,부산광역시 사상구,21150,88794.05
2013,부산광역시 기장군,21510,250423.4
2013,대구광역시 서구,22030,70076.56
2013,대구광역시 수성구,22060,15762.07
2013,인천광역시 동구,23020,2875533
2013,인천광역시 부평구,23060,582963.8
2013,인천광역시 계양구,23070,73621.77
2013,인천광역시 미추홀구,23090,168859.1
2013,인천광역시 옹진군,23520,2.23E+07
2013,광주광역시 동구,24010,13304.21
2013,광주광역시 서구,24020,154465.1
2013,광주광역시 남구,24030,3582.285
2013,대전광역시 동구,25010,71772.43
2013,대전광역시 중구,25020,39698.9
2013,대전광역시 서구,25030,100430.7
2013,울산광역시 북구,26040,1051322
2013,경기도 수원시,31011,1487526
2013,경기도 의정부시,31030,60461.93
2013,경기도 광명시,31060,162289.6
2013,경기도 고양시,31101,2163789
2013,경기도 과천시,31110,2871.94
2013,경기도 구리시,31120,76148.49
2013,경기도 남양주시,31130,16154.08
2013,경기도 의왕시,31170,149945.9
2013,경기도 하남시,31180,7903.706
2013,경기도 김포시,31230,7734.17
2013,경기도 포천시,31270,2630.457
2013,경기도 여주시,31280,584431.8
2013,경기도 가평군,31570,153299.9
2013,강원도 춘천시,32010,45799.22
2013,강원도 동해시,32040,1.42E+07
2013,강원도 태백시,32050,931.428
2013,강원도 속초시,32060,22320.9
2013,강원도 삼척시,32070,7936571
2013,강원도 홍천군,32510,55696.08
2013,강원도 양양군,32610,546287
2013,충청북도 제천시,33030,3035520
2013,충청북도 영동군,33540,5056.59
2013,충청북도 괴산군,33560,32923.74
2013,충청북도 음성군,33570,263335.9
2013,충청남도 공주시,34020,70105.89
2013,충청남도 논산시,34060,101128
2013,충청남도 부여군,34530,18191.5
2013,충청남도 청양군,34550,60770.66
2013,충청남도 예산군,34570,2390.767
2013,충청남도 태안군,34580,2.85E+07
2013,전라북도 남원시,35050,1016.857
2013,전라북도 김제시,35060,0
2013,전라북도 순창군,35560,30597.87
2013,전라북도 고창군,35570,43761.39
2013,전라남도 목포시,36010,3232.952
2013,전라남도 순천시,36030,2639913
2013,전라남도 나주시,36040,809175.4
2013,전라남도 함평군,36630,404.9143
2013,전라남도 영광군,36640,136671.5
2013,경상북도 안동시,37040,64680.88
2013,경상북도 영천시,37070,1443.516
2013,경상북도 상주시,37080,1730.309
2013,경상북도 청송군,37530,346407
2013,경상북도 칠곡군,37590,197629.1
2013,경상북도 예천군,37600,442426
2013,경상북도 봉화군,37610,1068779
2013,경상북도 울진군,37620,88628.52
2013,경상남도 통영시,38050,93841.48
2013,경상남도 밀양시,38080,308597
2013,경상남도 의령군,38510,147746.5
2013,경상남도 창녕군,38530,184900.4
2013,경상남도 고성군,38540,2.31E+07
2013,경상남도 하동군,38560,2.75E+07
2013,경상남도 산청군,38570,381718.8
2013,제주특별자치도 제주시,39010,1012422
2013,제주특별자치도 서귀포시,39020,1010236
