year,sigungu,sigungu_code,agg_emi_total_est
2023,서울특별시 종로구,11010,70475.05
2023,서울특별시 중구,11020,2849650
2023,서울특별시 용산구,11030,110636.5
2023,서울특별시 광진구,11050,44345.68
2023,서울특별시 동대문구,11060,663913.4
2023,서울특별시 서대문구,11130,5015.409
2023,서울특별시 마포구,11140,1984413
2023,서울특별시 강서구,11160,2400925
2023,서울특별시 금천구,11180,80701.38
2023,서울특별시 영등포구,11190,73035.36
2023,서울특별시 서초구,11220,622788.5
2023,서울특별시 강남구,11230,847380.4
2023,서울특별시 송파구,11240,614471.8
2023,부산광역시 남구,21070,6512.312
2023,부산광역시 사하구,21100,2784158
2023,부산광역시 강서구,21120,808982.6
2023,부산광역시 수영구,21140,659.975
2023,대구광역시 중구,22010,26782.01
2023,대구광역시 동구,22020,96544.13
2023,대구광역시 북구,22050,64492.73
2023,대구광역시 달서구,22070,325612.1
2023,대구광역시 달성군,22510,417559.6
2023,인천광역시 중구,23010,804448.2
2023,인천광역시 동구,23020,1953312
2023,인천광역시 연수구,23040,790097.8
2023,인천광역시 남동구,23050,53954.92
2023,인천광역시 부평구,23060,434379.2
2023,인천광역시 서구,23080,6444772
2023,인천광역시 미추홀구,23090,75229.94
2023,광주광역시 서구,24020,151642.1
2023,광주광역시 북구,24040,234883.8
2023,광주광역시 광산구,24050,437053.1
2023,대전광역시 유성구,25040,396202.9
2023,대전광역시 대덕구,25050,471072.2
2023,울산광역시 중구,26010,5756.985
2023,울산광역시 남구,26020,1.84E+07
2023,울산광역시 동구,26030,781010.9
2023,울산광역시 울주군,26510,1.65E+07
2023,세종시 세종시,29010,2188835
2023,경기도 수원시,31011,1158773
2023,경기도 성남시,31021,1904014
2023,경기도 안양시,31041,2269576
2023,경기도 부천시,31050,832549.6
2023,경기도 평택시,31070,7241372
2023,경기도 안산시,31091,1380466
2023,경기도 오산시,31140,268644.7
2023,경기도 시흥시,31150,390749.9
2023,경기도 의왕시,31170,40047.09
2023,경기도 용인시,31191,2654804
2023,경기도 파주시,31200,4335450
2023,경기도 안성시,31220,252224.7
2023,경기도 김포시,31230,389128.7
2023,경기도 화성시,31240,8263386
2023,경기도 광주시,31250,261025.6
2023,경기도 양주시,31260,22871.42
2023,강원도 원주시,32020,164466.8
2023,강원도 강릉시,32030,4344174
2023,강원도 영월군,32530,4721715
2023,강원도 평창군,32540,188915.8
2023,강원도 정선군,32550,392650.9
2023,충청북도 충주시,33020,185214.4
2023,충청북도 청주시,33040,4592610
2023,충청북도 음성군,33570,279979.8
2023,충청북도 단양군,33580,1.23E+07
2023,충청남도 천안시,34011,1005883
2023,충청남도 보령시,34030,2.30E+07
2023,충청남도 아산시,34040,4666092
2023,충청남도 서산시,34050,1.22E+07
2023,충청남도 당진시,34080,5.33E+07
2023,충청남도 금산군,34510,262780
2023,충청남도 서천군,34540,2786085
2023,충청남도 홍성군,34560,27391.39
2023,전라북도 전주시,35011,1213367
2023,전라북도 군산시,35020,5672371
2023,전라북도 익산시,35030,482123.6
2023,전라북도 정읍시,35040,114959.8
2023,전라북도 완주군,35510,421217.1
2023,전라북도 무주군,35530,329265.2
2023,전라북도 순창군,35560,56592.04
2023,전라남도 여수시,36020,3.04E+07
2023,전라남도 광양시,36060,5.05E+07
2023,전라남도 담양군,36510,112003.6
2023,전라남도 곡성군,36520,121947.1
2023,전라남도 영암군,36610,570627.3
2023,경상북도 포항시,37011,3.97E+07
2023,경상북도 경주시,37020,397849.5
2023,경상북도 김천시,37030,588283.1
2023,경상북도 구미시,37050,3311532
2023,경상북도 영주시,37060,291660.5
2023,경상북도 경산시,37100,163762.8
2023,경상남도 진주시,38030,384987.1
2023,경상남도 사천시,38060,140024.6
2023,경상남도 김해시,38070,449033.5
2023,경상남도 밀양시,38080,337012.7
2023,경상남도 거제시,38090,341948.6
2023,경상남도 양산시,38100,634889.6
2023,경상남도 창원시,38111,2140436
2023,경상남도 함안군,38520,798580.3
2023,경상남도 고성군,38540,9588855
2023,서울특별시 성동구,11040,150133.9
2023,서울특별시 중랑구,11070,3249
2023,서울특별시 성북구,11080,7775.851
2023,서울특별시 강북구,11090,22059.43
2023,서울특별시 도봉구,11100,3421
2023,서울특별시 노원구,11110,55780.25
2023,서울특별시 은평구,11120,43744.55
2023,서울특별시 양천구,11150,399914.3
2023,서울특별시 구로구,11170,32618.41
2023,서울특별시 동작구,11200,24681.24
2023,서울특별시 관악구,11210,39885.82
2023,서울특별시 강동구,11250,14592.97
2023,부산광역시 중구,21010,95389.98
2023,부산광역시 서구,21020,8514.364
2023,부산광역시 부산진구,21050,89218.85
2023,부산광역시 동래구,21060,19532.6
2023,부산광역시 북구,21080,6823.843
2023,부산광역시 해운대구,21090,459556.3
2023,부산광역시 금정구,21110,11080.37
2023,부산광역시 연제구,21130,17541.88
2023,부산광역시 사상구,21150,53309.38
2023,부산광역시 기장군,21510,160029.3
2023,대구광역시 서구,22030,50171.6
2023,대구광역시 수성구,22060,10384.45
2023,인천광역시 계양구,23070,53243.91
2023,인천광역시 옹진군,23520,1.78E+07
2023,광주광역시 동구,24010,17092.79
2023,광주광역시 남구,24030,4003.087
2023,대전광역시 동구,25010,24409.65
2023,대전광역시 중구,25020,14189.54
2023,대전광역시 서구,25030,55807.3
2023,울산광역시 북구,26040,951465.1
2023,경기도 의정부시,31030,94697.29
2023,경기도 광명시,31060,147798.5
2023,경기도 고양시,31101,952843.1
2023,경기도 구리시,31120,29099.13
2023,경기도 남양주시,31130,13409.86
2023,경기도 군포시,31160,63254.24
2023,경기도 하남시,31180,55228.46
2023,경기도 이천시,31210,3362384
2023,경기도 포천시,31270,49781.92
2023,경기도 여주시,31280,34074.21
2023,경기도 가평군,31570,189533.9
2023,강원도 춘천시,32010,23138.47
2023,강원도 동해시,32040,1.11E+07
2023,강원도 태백시,32050,5845.683
2023,강원도 속초시,32060,8987.377
2023,강원도 삼척시,32070,1.37E+07
2023,강원도 홍천군,32510,33369.23
2023,강원도 횡성군,32520,4217.665
2023,강원도 양양군,32610,369883.8
2023,충청북도 제천시,33030,2372838
2023,충청북도 영동군,33540,38118.44
2023,충청북도 진천군,33550,207311.6
2023,충청북도 괴산군,33560,9348.423
2023,충청북도 증평군,33590,23900.76
2023,충청남도 공주시,34020,22660.95
2023,충청남도 논산시,34060,112451.3
2023,충청남도 부여군,34530,13251.53
2023,충청남도 청양군,34550,39396.75
2023,충청남도 예산군,34570,73780.9
2023,충청남도 태안군,34580,2.43E+07
2023,전라북도 남원시,35050,8860.72
2023,전라북도 김제시,35060,6146.679
2023,전라북도 고창군,35570,13368.69
2023,전라남도 순천시,36030,364144.1
2023,전라남도 나주시,36040,494345.1
2023,전라남도 강진군,36590,9298.833
2023,전라남도 무안군,36620,9731.245
2023,전라남도 영광군,36640,120848.1
2023,경상북도 안동시,37040,557790.3
2023,경상북도 청송군,37530,357785
2023,경상북도 성주군,37580,8910
2023,경상북도 칠곡군,37590,25784.48
2023,경상북도 예천군,37600,261745
2023,경상북도 봉화군,37610,1102945
2023,경상북도 울진군,37620,180552
2023,경상남도 통영시,38050,89151.6
2023,경상남도 의령군,38510,79616.08
2023,경상남도 창녕군,38530,128873.5
2023,경상남도 하동군,38560,1.40E+07
2023,경상남도 산청군,38570,464611
2023,경상남도 거창군,38590,8331.879
2023,제주특별자치도 제주시,39010,677181.1
2023,제주특별자치도 서귀포시,39020,167873.2
